#,Time of Day,Thread,Module,API,Return Value,Error,Duration
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79850000, 0x000000000008f588 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79850000, 0x000000000008f588 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79850000, 0x000000000008f588 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79850000, 0x000000000008f588 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlAcquireSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlReleaseSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlTryEnterCriticalSection ( 0x00007fff77b31ec0 ),TRUE,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlAcquireSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"RtlDosPathNameToNtPathName_U ( ""C:\WINDOWS\System32\powrprof.dll"", 0x000000000008f490, NULL, NULL )",TRUE,,0.0000051
00:00.0,53:36.8,1,apphelp.dll,"NtOpenFile ( 0x000000000008f480, READ_CONTROL, 0x000000000008f4b0, 0x000000000008f4a0, FILE_SHARE_DELETE | FILE_SHARE_READ, 0 )",STATUS_SUCCESS,,0.0000606
00:00.0,53:36.8,1,apphelp.dll,"NtQuerySecurityObject ( 0x000000000000015c, OWNER_SECURITY_INFORMATION, NULL, 0, 0x000000000008f528 )",STATUS_BUFFER_TOO_SMALL,0xc0000023 = {Buffer Too Small} The buffer is too small to contain the entry. No information has been written to the buffer. ,0.000006
00:00.0,53:36.8,1,apphelp.dll,"RtlAllocateHeap ( 0x0000000000130000, HEAP_ZERO_MEMORY, 52 )",0x00000000004f3b30,,0.0000014
00:00.0,53:36.8,1,apphelp.dll,"NtQuerySecurityObject ( 0x000000000000015c, OWNER_SECURITY_INFORMATION, 0x00000000004f3b30, 52, 0x000000000008f528 )",STATUS_SUCCESS,,0.000002
00:00.0,53:36.8,1,apphelp.dll,"RtlGetOwnerSecurityDescriptor ( 0x00000000004f3b30, 0x000000000008f488, 0x000000000008f510 )",STATUS_SUCCESS,,0.0000003
00:00.0,53:36.8,1,apphelp.dll,"RtlEqualSid ( 0x00000000004f3b44, 0x0000000000133980 )",TRUE,,0.0000004
00:00.0,53:36.8,1,apphelp.dll,RtlFreeUnicodeString ( 0x000000000008f490 ),,,0.0000031
00:00.0,53:36.8,1,apphelp.dll,NtClose ( 0x000000000000015c ),STATUS_SUCCESS,,0.0000175
00:00.0,53:36.8,1,apphelp.dll,"RtlFreeHeap ( 0x0000000000130000, 0, 0x00000000004f3b30 )",TRUE,,0.0000013
00:00.0,53:36.8,1,apphelp.dll,RtlReleaseSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff798d0000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlAcquireSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlReleaseSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlTryEnterCriticalSection ( 0x00007fff77b31ec0 ),TRUE,,0
00:00.0,53:36.8,1,apphelp.dll,RtlAcquireSRWLockExclusive ( 0x0000000000138030 ),,,0
00:00.0,53:36.8,1,apphelp.dll,"RtlDosPathNameToNtPathName_U ( ""C:\WINDOWS\System32\kernel.appcore.dll"", 0x000000000008f490, NULL, NULL )",TRUE,,0.0000017
00:00.0,53:36.8,1,apphelp.dll,"NtOpenFile ( 0x000000000008f480, READ_CONTROL, 0x000000000008f4b0, 0x000000000008f4a0, FILE_SHARE_DELETE | FILE_SHARE_READ, 0 )",STATUS_SUCCESS,,0.0000329
00:00.0,53:36.8,1,apphelp.dll,"NtQuerySecurityObject ( 0x000000000000015c, OWNER_SECURITY_INFORMATION, NULL, 0, 0x000000000008f528 )",STATUS_BUFFER_TOO_SMALL,0xc0000023 = {Buffer Too Small} The buffer is too small to contain the entry. No information has been written to the buffer. ,0.0000031
00:00.0,53:36.8,1,apphelp.dll,"RtlAllocateHeap ( 0x0000000000130000, HEAP_ZERO_MEMORY, 52 )",0x00000000004f3b40,,0.000001
00:00.0,53:36.8,1,apphelp.dll,"NtQuerySecurityObject ( 0x000000000000015c, OWNER_SECURITY_INFORMATION, 0x00000000004f3b40, 52, 0x000000000008f528 )",STATUS_SUCCESS,,0.0000019
00:00.0,53:36.8,1,apphelp.dll,"RtlGetOwnerSecurityDescriptor ( 0x00000000004f3b40, 0x000000000008f488, 0x000000000008f510 )",STATUS_SUCCESS,,0
00:00.0,53:36.8,1,apphelp.dll,"RtlEqualSid ( 0x00000000004f3b54, 0x0000000000133980 )",TRUE,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlFreeUnicodeString ( 0x000000000008f490 ),,,0.000001
00:00.0,53:36.8,1,apphelp.dll,NtClose ( 0x000000000000015c ),STATUS_SUCCESS,,0.0000101
00:00.0,53:36.8,1,apphelp.dll,"RtlFreeHeap ( 0x0000000000130000, 0, 0x00000000004f3b40 )",TRUE,,0.0000007
00:00.0,53:36.8,1,apphelp.dll,RtlReleaseSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000003
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff79880000, 0x000000000008f5b8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlAcquireSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlReleaseSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlTryEnterCriticalSection ( 0x00007fff77b31ec0 ),TRUE,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,RtlAcquireSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"RtlDosPathNameToNtPathName_U ( ""C:\WINDOWS\System32\windows.storage.dll"", 0x000000000008f4c0, NULL, NULL )",TRUE,,0.0000018
00:00.0,53:36.8,1,apphelp.dll,"NtOpenFile ( 0x000000000008f4b0, READ_CONTROL, 0x000000000008f4e0, 0x000000000008f4d0, FILE_SHARE_DELETE | FILE_SHARE_READ, 0 )",STATUS_SUCCESS,,0.0000254
00:00.0,53:36.8,1,apphelp.dll,"NtQuerySecurityObject ( 0x000000000000015c, OWNER_SECURITY_INFORMATION, NULL, 0, 0x000000000008f558 )",STATUS_BUFFER_TOO_SMALL,0xc0000023 = {Buffer Too Small} The buffer is too small to contain the entry. No information has been written to the buffer. ,0.0000032
00:00.0,53:36.8,1,apphelp.dll,"RtlAllocateHeap ( 0x0000000000130000, HEAP_ZERO_MEMORY, 52 )",0x00000000004f3b40,,0.0000009
00:00.0,53:36.8,1,apphelp.dll,"NtQuerySecurityObject ( 0x000000000000015c, OWNER_SECURITY_INFORMATION, 0x00000000004f3b40, 52, 0x000000000008f558 )",STATUS_SUCCESS,,0.0000017
00:00.0,53:36.8,1,apphelp.dll,"RtlGetOwnerSecurityDescriptor ( 0x00000000004f3b40, 0x000000000008f4b8, 0x000000000008f540 )",STATUS_SUCCESS,,0
00:00.0,53:36.8,1,apphelp.dll,"RtlEqualSid ( 0x00000000004f3b54, 0x0000000000133980 )",TRUE,,0.0000002
00:00.0,53:36.8,1,apphelp.dll,RtlFreeUnicodeString ( 0x000000000008f4c0 ),,,0.0000012
00:00.0,53:36.8,1,apphelp.dll,NtClose ( 0x000000000000015c ),STATUS_SUCCESS,,0.0000129
00:00.0,53:36.8,1,apphelp.dll,"RtlFreeHeap ( 0x0000000000130000, 0, 0x00000000004f3b40 )",TRUE,,0.0000007
00:00.0,53:36.8,1,apphelp.dll,RtlReleaseSRWLockExclusive ( 0x0000000000138030 ),,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000004
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.000037
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000005
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000003
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000008
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000023
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000003
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000003
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000003
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000004
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000004
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000005
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000003
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000004
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000003
00:00.0,53:36.8,1,apphelp.dll,"LdrFindEntryForAddress ( 0x00007fff7a290000, 0x000000000008f5e8 )",STATUS_SUCCESS,,0.0000002
